age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,outcome_object,location,operation,officer_defined_ethnicity,type,operation_name,object_of_search
18-24,A no further action disposal,True,Asian/Asian British - Bangladeshi,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-20T18:15:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.524465', 'street': {'id': 960938, 'name': 'On or near Marchmont Street'}, 'longitude': '-0.124891'}",False,Asian,Person search,,Controlled drugs
25-34,Arrest,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-21T00:47:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.532450', 'street': {'id': 964975, 'name': 'On or near Neville Close'}, 'longitude': '-0.128225'}",False,Asian,Person and Vehicle search,,Controlled drugs
25-34,A no further action disposal,True,Other ethnic group - Not stated,Female,Misuse of Drugs Act 1971 (section 23),,2019-05-21T00:50:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.532450', 'street': {'id': 964975, 'name': 'On or near Neville Close'}, 'longitude': '-0.128225'}",False,White,Person and Vehicle search,,Controlled drugs
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Criminal Justice and Public Order Act 1994 (section 60),,2019-05-21T00:00:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.531282', 'street': {'id': 960619, 'name': 'On or near Edward Mews'}, 'longitude': '-0.144709'}",False,Asian,Person and Vehicle search,,Anything to threaten or harm anyone
over 34,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-21T11:00:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,Black,Person search,,Controlled drugs
25-34,A no further action disposal,True,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-21T18:00:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.527015', 'street': {'id': 960675, 'name': 'On or near George Mews'}, 'longitude': '-0.138179'}",False,Asian,Person search,,Controlled drugs
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-21T15:15:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.527300', 'street': {'id': 960538, 'name': 'On or near Melton Street'}, 'longitude': '-0.134592'}",False,White,Person search,,Controlled drugs
18-24,Arrest,True,Other ethnic group - Any other ethnic group,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-21T23:05:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.536279', 'street': {'id': 965078, 'name': 'On or near Prince Albert Road'}, 'longitude': '-0.146827'}",False,White,Person and Vehicle search,,Controlled drugs
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-21T16:37:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530565', 'street': {'id': 960903, 'name': 'On or near Pedestrian Subway'}, 'longitude': '-0.124496'}",False,White,Person search,,Controlled drugs
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-22T08:45:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.525479', 'street': {'id': 960947, 'name': 'On or near Kenton Street'}, 'longitude': '-0.124734'}",False,White,Person search,,Controlled drugs
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2019-05-22T08:40:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.525479', 'street': {'id': 960947, 'name': 'On or near Kenton Street'}, 'longitude': '-0.124734'}",False,White,Person search,,Controlled drugs
18-24,A no further action disposal,True,Other ethnic group - Any other ethnic group,Female,Police and Criminal Evidence Act 1984 (section 1),,2019-05-22T17:20:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,White,Person search,,Stolen goods
10-17,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-22T14:40:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530264', 'street': {'id': 960904, 'name': 'On or near Pedestrian Subway'}, 'longitude': '-0.123643'}",False,Black,Person search,,Controlled drugs
25-34,A no further action disposal,True,Other ethnic group - Any other ethnic group,Female,Misuse of Drugs Act 1971 (section 23),,2019-05-23T12:07:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.535437', 'street': {'id': 964840, 'name': 'On or near Symes Mews'}, 'longitude': '-0.139638'}",False,White,Person and Vehicle search,,Controlled drugs
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-23T12:07:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.542191', 'street': {'id': 964866, 'name': 'On or near Kentish Town Road'}, 'longitude': '-0.141944'}",False,White,Person and Vehicle search,,Controlled drugs
25-34,Community resolution,True,Other ethnic group - Any other ethnic group,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-23T12:07:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.542191', 'street': {'id': 964866, 'name': 'On or near Kentish Town Road'}, 'longitude': '-0.141944'}",False,White,Person and Vehicle search,,Controlled drugs
18-24,Community resolution,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-23T10:10:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.534835', 'street': {'id': 964936, 'name': 'On or near Unity Mews'}, 'longitude': '-0.132871'}",False,Black,Person search,,Controlled drugs
25-34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2019-05-23T12:35:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.530644', 'street': {'id': 960946, 'name': ""On or near King'S Cross Bridge""}, 'longitude': '-0.120975'}",False,White,Person search,,Controlled drugs
,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-23T21:05:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.537073', 'street': {'id': 964902, 'name': 'On or near Nightclub'}, 'longitude': '-0.141287'}",False,Asian,Person search,,Controlled drugs
,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-23T21:10:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.537073', 'street': {'id': 964902, 'name': 'On or near Nightclub'}, 'longitude': '-0.141287'}",False,Black,Person search,,Controlled drugs
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-23T20:21:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.540541', 'street': {'id': 964882, 'name': 'On or near Camden Street'}, 'longitude': '-0.139963'}",False,White,Person search,,Evidence of offences under the Act
10-17,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-23T17:45:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530644', 'street': {'id': 960946, 'name': ""On or near King'S Cross Bridge""}, 'longitude': '-0.120975'}",False,Black,Person search,,Offensive weapons
18-24,A no further action disposal,True,Asian/Asian British - Any other Asian background,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-23T17:40:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530644', 'street': {'id': 960946, 'name': ""On or near King'S Cross Bridge""}, 'longitude': '-0.120975'}",False,Asian,Person search,,Offensive weapons
25-34,A no further action disposal,True,Asian/Asian British - Bangladeshi,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-23T21:55:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.535437', 'street': {'id': 964840, 'name': 'On or near Symes Mews'}, 'longitude': '-0.139638'}",False,Asian,Person search,,Controlled drugs
over 34,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-24T08:45:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.528124', 'street': {'id': 960656, 'name': 'On or near Prince Of Wales Passage'}, 'longitude': '-0.138898'}",False,Other,Person search,,Stolen goods
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2019-05-17T13:20:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.522483', 'street': {'id': 960593, 'name': 'On or near Further/Higher Educational Building'}, 'longitude': '-0.127452'}",False,White,Person search,,Controlled drugs
18-24,Arrest,True,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-24T11:10:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.525332', 'street': {'id': 960770, 'name': 'On or near Wren Street'}, 'longitude': '-0.115528'}",False,Black,Person search,,Offensive weapons
over 34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2019-05-19T18:50:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.532630', 'street': {'id': 964998, 'name': 'On or near Harrington Square'}, 'longitude': '-0.138426'}",False,White,Person search,,Controlled drugs
25-34,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-24T13:40:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.541752', 'street': {'id': 964888, 'name': 'On or near Camden Gardens'}, 'longitude': '-0.141457'}",False,Black,Person search,,Controlled drugs
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-24T15:00:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.527992', 'street': {'id': 960687, 'name': 'On or near Clarence Gardens'}, 'longitude': '-0.142536'}",False,Black,Person and Vehicle search,,Controlled drugs
,A no further action disposal,False,,,Misuse of Drugs Act 1971 (section 23),,2019-05-24T15:00:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.529035', 'street': {'id': 960682, 'name': 'On or near Cumberland Market'}, 'longitude': '-0.142508'}",False,,Vehicle search,,Controlled drugs
,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-24T18:19:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.527300', 'street': {'id': 960538, 'name': 'On or near Melton Street'}, 'longitude': '-0.134592'}",False,White,Person search,,Offensive weapons
18-24,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-24T17:15:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.527300', 'street': {'id': 960538, 'name': 'On or near Melton Street'}, 'longitude': '-0.134592'}",False,White,Person search,,Offensive weapons
25-34,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-23T13:02:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.540369', 'street': {'id': 964925, 'name': 'On or near Camden High Street'}, 'longitude': '-0.143878'}",False,Black,Person search,,Controlled drugs
over 34,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-24T19:40:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.524857', 'street': {'id': 960700, 'name': 'On or near Hospital'}, 'longitude': '-0.137027'}",False,White,Person search,,Offensive weapons
,Community resolution,True,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-25T10:22:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.533015', 'street': {'id': 964996, 'name': 'On or near Lidlington Place'}, 'longitude': '-0.137184'}",False,White,Person search,,Controlled drugs
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-25T14:36:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.543070', 'street': {'id': 964969, 'name': 'On or near Agar Grove'}, 'longitude': '-0.131063'}",False,Other,Person and Vehicle search,,Controlled drugs
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-25T14:40:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.543070', 'street': {'id': 964969, 'name': 'On or near Agar Grove'}, 'longitude': '-0.131063'}",False,Black,Person and Vehicle search,,Controlled drugs
18-24,Arrest,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-22T16:50:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.539681', 'street': {'id': 964928, 'name': 'On or near Nightclub'}, 'longitude': '-0.142998'}",False,Black,Person search,,Controlled drugs
